category,project_index,project_name,allocation,percentage
STEM,1,AI基础,0.2491,24.9%
STEM,2,AI伦理,0.1519,15.2%
STEM,3,项目实践,0.2497,25.0%
STEM,4,业界专家,0.1996,20.0%
STEM,5,实验设备,0.1497,15.0%
Trade,1,厨房设备,0.1499,15.0%
Trade,2,AI工具,0.0491,4.9%
Trade,3,营养管理,0.2502,25.0%
Trade,4,感官工作坊,0.2512,25.1%
Trade,5,大师班,0.2996,30.0%
Arts,1,AI协作,0.0365,3.6%
Arts,2,跨学科,0.1059,10.6%
Arts,3,行业实习,0.1105,11.1%
Arts,4,传统表演,0.1373,13.7%
Arts,5,技术素养,0.0689,6.9%
