title,type,theta,Ac,k,train_error
Motion Picture and Video Industries,Art,0.9751778997166876,0.3785317219132171,9.876185057629948,0.11537751293633963
Motion picture and sound recording industries,Art,0.9922807978315807,0.38164794541903896,9.973716914176908,0.10095499211070426
"Museums, historical sites, and similar institutions,",Art,1.0,0.1,10.0,0.04158806677552622
Performing Arts,Art,0.9964396539777771,0.11543026058899697,9.679983318938325,0.1491456610122868
Specialized Design Services,Art,0.999309433418518,0.1040304087187687,9.778415890921789,0.024092813410132835
