title,type,theta,Ac,k,train_error
Motion Picture and Video Industries,Art,0.9966766949601837,0.3711764236310666,9.947785627909155,0.11512016302244116
Motion picture and sound recording industries,Art,0.9997602748330261,0.36933894628780045,9.734234166078556,0.10096641102280293
Food services and drinking places,Trade,0.9999029579241228,0.10484240594517935,9.87519340777389,0.026400839708760962
"Computing infrastructure providers, data processing, web hosting, and related services",STEM,0.9999029579241228,0.10484240594517935,9.87519340777389,0.026400839708760962
Specialized Design Services,Art,0.9988989041808749,0.10275927165580018,9.978740839270673,0.02406456695031245
Repair and Maintenance,Trade,0.9984236707203327,0.10888683760802631,9.897638267248514,0.04025179398836312
Construction of buildings,Trade,0.9984236707203327,0.10888683760802631,9.897638267248514,0.05709843812829199
"Museums, historical sites, and similar institutions,",Art,0.9997298654141624,0.1054527537407664,9.98065870355359,0.04162330225643607
Scientific Research and Development Services,STEM,0.999184092732454,0.10351726565811992,9.966239974332172,0.056889899857398535
Specialty Trade Contractors,Trade,0.999184092732454,0.10351726565811992,9.966239974332172,0.04837788670764387
Computer Systems Design and Related Services,STEM,0.999184092732454,0.10351726565811992,9.966239974332172,0.056889899857398535
Computer and Electronic Product Manufacturing,STEM,0.9992703705143446,0.10047641906367721,9.993063600548481,0.07194597547992718
Performing Arts,Art,0.9992431732574749,0.10298322856209607,9.909598536607902,0.14875961382677738
